product_id,quantity_on_hand,snapshot_date
E481951-000,225,2023-01-01
E473968-000,242,2023-01-01
E482880-000,161,2023-01-01
E480815-000,221,2023-01-01
E487922-000,225,2023-01-01
E484249-000,214,2023-01-01
E484897-000,104,2023-01-01
E488735-000,123,2023-01-01
E486964-000,175,2023-01-01
E481796-000,156,2023-01-01
E482303-000,203,2023-01-01
E484783-000,162,2023-01-01
E481800-000,178,2023-01-01
E483757-000,248,2023-01-01
E485711-000,194,2023-01-01
E478346-000,221,2023-01-01
E484110-000,241,2023-01-01
E482732-000,235,2023-01-01
E482648-000,188,2023-01-01
E476355-000,208,2023-01-01
E462191-000,240,2023-01-01
E466374-000,184,2023-01-01
E481091-000,190,2023-01-01
E484934-000,216,2023-01-01
E485223-000,169,2023-01-01
E482979-000,178,2023-01-01
E485498-000,164,2023-01-01
E483041-000,159,2023-01-01
INVALID-E483002-000,130,2023-01-01
INVALID-E464390-000,149,2023-01-01
E480800-000,180,2023-01-01
E482015-000,130,2023-01-01
E483340-000,237,2023-01-01
E479293-000,,2023-01-01
E483831-000,149,2023-01-01
E485005-000,155,2023-01-01
E485652-000,223,2023-01-01
E483999-000,170,2023-01-01
E482606-000,,2023-01-01
E483428-000,234,2023-01-01
E475344-000,172,2023-01-01
E488046-000,125,2023-01-01
E476997-000,149,2023-01-01
E483339-000,175,2023-01-01
E484913-000,158,2023-01-01
E484605-000,192,2023-01-01
E483548-000,145,2023-01-01
E483819-000,177,2023-01-01
E484339-000,103,2023-01-01
E483562-000,,2023-01-01
E484463-000,132,2023-01-01
E484193-000,170,2023-01-01
E483416-000,111,2023-01-01
E477074-000,113,2023-01-01
E481994-000,241,2023-01-01
E481630-000,174,2023-01-01
E488260-000,132,2023-01-01
E464284-000,225,2023-01-01
E480302-000,126,2023-01-01
E482454-000,103,2023-01-01
E480411-000,246,2023-01-01
E487505-000,172,2023-01-01
INVALID-E482604-000,220,2023-01-01
E483762-000,222,2023-01-01
E479229-000,212,2023-01-01
E483807-000,187,2023-01-01
E459568-000,147,2023-01-01
E483576-000,113,2023-01-01
E482662-000,164,2023-01-01
E475380-000,222,2023-01-01
E483924-000,129,2023-01-01
E483568-000,116,2023-01-01
E488269-000,202,2023-01-01
E485300-000,225,2023-01-01
E478652-000,118,2023-01-01
E483036-000,247,2023-01-01
E479597-000,113,2023-01-01
E483836-000,138,2023-01-01
E482816-000,138,2023-01-01
E484026-000,244,2023-01-01
E479403-000,177,2023-01-01
E483896-000,121,2023-01-01
E484958-000,163,2023-01-01
E465491-000,130,2023-01-01
E484186-000,242,2023-01-01
E485002-000,206,2023-01-01
E484033-000,157,2023-01-01
E481885-000,233,2023-01-01
E477181-000,197,2023-01-01
E479194-000,215,2023-01-01
E484846-000,213,2023-01-01
E452298-000,176,2023-01-01
E485717-000,250,2023-01-01
E457267-000,209,2023-01-01
E478139-000,178,2023-01-01
E484875-000,245,2023-01-01
E424873-000,115,2023-01-01
E480966-000,125,2023-01-01
E487908-000,153,2023-01-01
E481980-000,154,2023-01-01
E481358-000,167,2023-01-01
E480059-000,120,2023-01-01
E479182-000,140,2023-01-01
E462336-000,161,2023-01-01
E482982-000,144,2023-01-01
E487668-000,241,2023-01-01
E473177-000,119,2023-01-01
E467322-000,140,2023-01-01
E484932-000,100,2023-01-01
E483899-000,204,2023-01-01
E479503-000,215,2023-01-01
E469871-000,220,2023-01-01
E482085-000,174,2023-01-01
E441897-000,108,2023-01-01
E485667-000,159,2023-01-01
E481412-000,173,2023-01-01
E479547-000,172,2023-01-01
E483285-000,216,2023-01-01
E461420-000,118,2023-01-01
E487564-000,159,2023-01-01
E485616-000,167,2023-01-01
E485455-000,250,2023-01-01
E485327-000,150,2023-01-01
E483523-000,208,2023-01-01
E456588-000,129,2023-01-01
E472520-000,239,2023-01-01
E483521-000,157,2023-01-01
E485574-000,138,2023-01-01
E483443-000,168,2023-01-01
E474213-000,136,2023-01-01
E486152-000,118,2023-01-01
E482514-000,115,2023-01-01
E475598-000,142,2023-01-01
E485568-000,178,2023-01-01
E484204-000,245,2023-01-01
E484063-000,173,2023-01-01
E481411-000,212,2023-01-01
E484244-000,131,2023-01-01
E482920-000,219,2023-01-01
E480971-000,177,2023-01-01
INVALID-E482942-000,203,2023-01-01
E480861-000,169,2023-01-01
E481637-000,228,2023-01-01
E484778-000,238,2023-01-01
E485750-000,226,2023-01-01
E475346-000,212,2023-01-01
E479073-000,120,2023-01-01
E482443-000,110,2023-01-01
E480893-000,210,2023-01-01
E478212-000,182,2023-01-01
E485557-000,164,2023-01-01
E464310-000,106,2023-01-01
E467483-000,123,2023-01-01
E484246-000,158,2023-01-01
E474481-000,247,2023-01-01
E465760-000,250,2023-01-01
E482498-000,105,2023-01-01
E482874-000,168,2023-01-01
E483294-000,247,2023-01-01
E460431-000,110,2023-01-01
E482216-000,98,2023-01-01
E483327-000,98,2023-01-01
E457129-000,61,2023-01-01
E481623-000,80,2023-01-01
E486141-000,83,2023-01-01
E461013-000,91,2023-01-01
E487538-000,78,2023-01-01
E485025-000,67,2023-01-01
E474529-000,61,2023-01-01
E465193-000,87,2023-01-01
E483001-000,77,2023-01-01
E484208-000,90,2023-01-01
E480704-000,81,2023-01-01
E485251-000,55,2023-01-01
E473535-000,80,2023-01-01
E484798-001,72,2023-01-01
E483674-000,76,2023-01-01
E481430-001,71,2023-01-01
E485744-000,70,2023-01-01
E483430-000,92,2023-01-01
E479575-000,56,2023-01-01
E478610-000,60,2023-01-01
E487568-000,71,2023-01-01
E487640-000,76,2023-01-01
E479502-000,94,2023-01-01
E485487-000,81,2023-01-01
E487477-000,68,2023-01-01
E482790-000,92,2023-01-01
E478123-000,75,2023-01-01
E488250-000,98,2023-01-01
E487566-000,85,2023-01-01
E484086-000,52,2023-01-01
E484430-000,79,2023-01-01
E482655-000,55,2023-01-01
E484402-000,70,2023-01-01
E465185-000,66,2023-01-01
E484705-000,70,2023-01-01
E484184-000,57,2023-01-01
E464392-000,99,2023-01-01
E485265-000,75,2023-01-01
E484276-000,82,2023-01-01
E484813-000,50,2023-01-01
E481649-000,92,2023-01-01
E478277-000,84,2023-01-01
E486090-001,79,2023-01-01
E470182-000,76,2023-01-01
E439661-000,53,2023-01-01
E485446-000,62,2023-01-01
E480911-000,83,2023-01-01
E488733-000,73,2023-01-01
