product_id,sale_date,quantity,unit_price
E485616-000,2023-01-01,1,14.90
E467322-000,2023-01-01,1,14.90
E482920-000,2023-01-01,1,49.90
E480971-000,2023-01-01,1,9.90
E483002-000,2023-01-01,1,39.90
E482732-000,2023-01-01,-1,14.90
E482920-000,2023-01-01,1,49.90
E484080-000,2023-01-01,1,29.90
E478003-000,2023-01-01,1,49.90
E484913-000,2023-01-01,1,49.90
E484204-000,2023-01-01,1,59.90
E464284-000,2023-01-01,1,9.90
E473470-000,2023-01-01,1,39.90
E478139-000,2023-01-01,1,24.90
E482648-000,2023-01-01,1,19.90
E481638-000,2023-01-01,1,29.90
E480861-000,2023-01-01,1,19.90
E485574-000,2023-01-01,1,29.90
E479403-000,2023-01-01,1,29.90
E477837-000,2023-01-01,1,49.90
E484033-000,2023-01-01,2,59.90
E484846-000,2023-01-01,1,19.90
E478346-000,2023-01-01,1,19.90
E482454-000,2023-01-01,1,29.90
  E456588-000 ,2023-01-01,1,49.90
E484605-000,2023-01-01,1,29.90
E479575-000,2023-01-01,1,19.90
E462191-000,2023-01-01,1,3.90
E485711-000,2023-01-01,1,14.90
E482303-000,2023-01-01,1,29.90
E484478-000,2023-01-01,1,19.90
E479597-000,2023-01-01,1,14.90
E462191-000,2023-01-01,1,3.90
E465491-000,2023-01-01,3,19.90
E483959-000,2023-01-01,1,59.90
E482648-000,2023-01-01,1,19.90
E483041-000,2023-01-01,1,49.90
e479503-000,2023-01-01,1,7.90
E480815-000,2023-01-01,1,19.90
E485558-000,2023-01-01,1,29.90
E476997-000,2023-01-01,1,19.90
E483521-000,2023-01-01,1,14.90
E483294-000,2023-01-01,1,29.90
E467483-000,2023-01-01,2,49.90
E479223-000,2023-01-01,1,149.90
E481358-000,2023-01-01,1,39.90
E477074-000,2023-01-01,1,14.90
E485574-000,2023-01-01,1,29.90
E485327-000,2023-01-01,2,19.90
E484244-000,2023-01-01,1,39.90
E482498-000,2023-01-01,1,39.90
E484330-000,2023-01-01,1,49.90
E488260-000,2023-01-01,1,19.90
E484897-000,2023-01-01,2,29.90
E479194-000,2023-01-01,1,19.90
E481412-000,2023-01-01,1,19.90
E482604-000,2023-01-01,1,7.90
E483819-000,2023-01-01,1,59.90
E483899-000,2023-01-01,1,29.90
E484244-000,2023-01-01,1,39.90
E479403-000,2023-01-01,1,29.90
E464310-000,2023-01-01,1,14.90
E486152-000,2023-01-01,1,19.90
E484913-000,2023-01-01,1,49.90
E456588-000,2023-01-01,2,49.90
E441897-000,2023-01-01,1,5.90
E484244-000,2023-01-01,1,39.90
E479073-000,2023-01-01,1,39.90
E482085-000,2023-01-01,1,39.90
E486964-000,2023-01-01,1,49.90
E480411-000,2023-01-01,1,19.90
E482874-000,2023-01-01,1,59.90
E484244-000,2023-01-01,1,39.90
E485223-000,2023-01-01,1,29.90
E479293-000,2023-01-01,1,49.90
E482443-000,2023-01-01,1,49.90
E462336-000,2023-01-01,2,49.90
E483285-000,2023-01-01,1,49.90
E483536-000,2023-01-01,1,14.90
E479620-000,2023-01-01,1,29.90
E475344-000,2023-01-01,-2,49.90
E483836-000,2023-01-01,1,99.90
E476997-000,2023-01-01,1,19.90
E485223-000,2023-01-01,1,29.90
E485327-000,2023-01-01,1,19.90
E465185-000,2023-01-01,1,19.90
E485750-000,2023-01-01,1,59.90
E487668-000,2023-01-01,1,7.90
E487908-000,2023-01-01,1,19.90
E484246-000,2023-01-01,1,29.90
E483836-000,2023-01-01,1,99.90
E487505-000,2023-01-01,1,19.90
E480908-000,2023-01-01,1,7.90
,2023-01-01,1,19.90
E485300-000,2023-01-01,1,19.90
E482874-000,2023-01-01,1,59.90
E465491-000,2023-01-01,1,19.90
E487505-000,2023-01-01,1,19.90
E484913-000,2023-01-01,1,49.90
E459568-000,2023-01-01,1,19.90
E488735-000,2023-01-01,1,19.90
E485574-000,2023-01-01,1,29.90
E464390-000,2023-01-01,1,14.90
E481796-000,2023-01-01,1,14.90
E483896-000,2023-01-01,1,29.90
E479182-000,2023-01-01,1,19.90
E482880-000,2023-01-01,1,49.90
E482604-000,2023-01-01,1,7.90
E482816-000,2023-01-01,1,29.90
E478557-000,2023-01-01,1,59.90
E466374-000,2023-01-01,1,19.90
E479293-000,2023-01-01,1,49.90
E483896-000,2023-01-01,2,29.90
E483041-000,2023-01-01,1,49.90
E482816-000,2023-01-01,1,29.90
E474481-000,2023-01-01,1,19.90
E482514-000,2023-01-01,1,14.90
E457288-000,2023-01-01,1,5.90
E488260-000,2023-01-01,1,19.90
E476355-000,2023-01-01,2,19.90
E484086-000,2023-01-01,1,19.90
E488735-000,2023-01-01,1,19.90
E482606-000,2023-01-01,1,3.90
E478346-000,2023-01-01,1,19.90
E480966-000,2023-01-01,1,39.90
  E481980-000 ,2023-01-01,-1,9.90
E478637-000,2023-01-01,1,19.90
E488260-000,2023-01-01,1,19.90
E480411-000,2023-01-01,1,19.90
E475346-000,2023-01-01,1,29.90
E484026-000,2023-01-01,-1,49.90
E481951-000,2023-01-01,1,9.90
E483683-000,2023-01-01,-1,14.90
E485744-000,2023-01-01,1,29.90
E456588-000,2023-01-01,2,49.90
E464284-000,2023-01-01,1,9.90
e479073-000,2023-01-01,2,39.90
E477345-000,2023-01-01,1,49.90
E483896-000,2023-01-01,1,29.90
E485644-000,2023-01-01,1,39.90
E481800-000,2023-01-01,2,14.90
E480971-000,2023-01-01,1,9.90
E481412-000,2023-01-01,1,19.90
E484934-000,2023-01-01,1,29.90
E475344-000,2023-01-01,3,49.90
NEW-12345,2023-01-01,1,29.90
E485717-000,2023-01-01,1,14.90
E483416-000,2023-01-01,1,14.90
E483576-000,2023-01-01,1,14.90
E483576-000,2023-01-01,1,14.90
E485223-000,2023-01-01,1,29.90
E485455-000,2023-01-01,1,19.90
E483294-000,2023-01-01,1,29.90
E483562-000,2023-01-01,3,49.90
E467483-000,2023-01-01,2,49.90
E485568-000,2023-01-01,1,29.90
E473177-000,2023-01-01,1,19.90
E487668-000,2023-01-01,1,7.90
E483294-000,2023-01-01,1,29.90
E484875-000,2023-01-01,1,49.90
E480302-000,2023-01-01,1,39.90
E481091-000,2023-01-01,1,5.90
E482259-000,2023-01-01,1,29.90
E488735-000,2023-01-01,1,19.90
E483924-000,2023-01-01,1,19.90
E472520-000,2023-01-01,1,19.90
E484934-000,2023-01-01,1,29.90
E487571-000,2023-01-01,1,19.90
E455471-000,2023-01-01,1,49.90
E483924-000,2023-01-01,1,19.90
E460431-000,2023-01-01,1,14.90
E467483-000,2023-01-01,1,49.90
E483924-000,2023-01-01,1,19.90
E484246-000,,1,29.90
E467322-000,2023-01-01,1,14.90
E452298-000,2023-01-01,1,29.90
E485002-000,2023-01-01,1,5.90
E457117-000,2023-01-01,1,19.90
E483294-000,2023-01-01,1,29.90
E482606-000,2023-01-01,1,3.90
E456588-000,2023-01-01,1,49.90
E483339-000,2023-01-01,1,29.90
E483899-000,2023-01-01,1,฿29.90
E484063-000,2023-01-01,1,19.90
  E487908-000 ,2023-01-02,1,19.90
E484204-000,2023-01-02,3,59.90
E484339-000,2023-01-02,1,฿29.90
E484249-000,2023-01-02,1,59.90
E485008-001,2023-01-02,1,29.90
E473177-000,2023-01-02,1,19.90
E482880-000,2023-01-02,1,49.90
E485498-000,2023-01-02,1,19.90
E484193-000,2023-01-02,1,39.90
E483523-000,2023-01-02,-1,14.90
E486152-000,2023-01-02,2,19.90
  E465755-000 ,2023-01-02,1,14.90
E484783-000,2023-01-02,1,39.90
E474460-000,2023-01-02,1,19.90
E469836-000,2023-01-02,1,19.90
E483412-000,2023-01-02,1,14.90
E452298-000,2023-01-02,1,29.90
E456588-000,2023-01-02,1,49.90
E484033-000,2023-01-02,1,59.90
E487908-000,2023-01-02,1,19.90
E479407-000,2023-01-02,1,29.90
E474213-000,2023-01-02,1,7.90
E485644-000,2023-01-02,1,39.90
E462336-000,2023-01-02,1,49.90
E484778-000,2023-01-02,2,19.90
E479547-000,2023-01-02,1,5.90
E488260-000,2023-01-02,1,19.90
E483041-000,2023-01-02,1,49.90
E482498-000,2023-01-02,1,39.90
E484033-000,2023-01-02,2,59.90
E481412-000,2023-01-02,1,19.90
E481412-000,2023-01-02,1,19.90
E478212-000,2023-01-02,2,9.90
E483340-000,2023-01-02,1,14.90
E483762-000,2023-01-02,3,129.90
E482514-000,2023-01-02,1,14.90
E484193-000,2023-01-02,1,39.90
E484605-000,2023-01-02,1,29.90
E481411-000,2023-01-02,1,19.90
E485711-000,2023-01-02,1,14.90
E474529-000,2023-01-02,1,29.90
E484778-000,2023-01-02,1,19.90
E480966-000,2023-01-02,3,39.90
E479229-000,2023-01-02,1,59.90
E483562-000,2023-01-02,1,49.90
E424873-000,2023-01-02,1,14.90
E483428-000,2023-01-02,1,14.90
E481801-000,2023-01-02,1,14.90
E483819-000,2023-01-02,1,59.90
E481994-000,2023-01-02,1,9.90
E482880-000,2023-01-02,1,49.90
E482303-000,2023-01-02,2,29.90
